Modele,f1_known,zd_recall,fp_day,fbeta2,train_time,FP_k_jour,Model_short
Random Forest,99.77017689405248,57.93499043977055,5088,56.28831506594836,90.93240714073181,5.088,RF
XGBoost,99.8175072186141,42.734225621414915,1278,46.75732217573222,11.025892496109009,1.278,XGB
MLP (No Graph),98.21546431313213,8.604206500956023,38063,5.1664753157290475,702.9019722938538,38.063,MLP
GAT V5 (composite P94.05),96.8146191807854,96.08030592734225,50007,45.611327947717164,11.121731042861938,50.007,GAT
GAT V5 (composite P94.05) +cns0.999,96.8146191807854,95.50669216061185,12596,75.10148849797022,11.121731042861938,12.596,GAT+cns
